"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance","hop limit","payload"
"2025-08-14","15:49:45","1304564327","Meshtastic 1267","","","","","","7.0","","0","seq 1"
"2025-08-14","15:49:46","1304564327","Meshtastic 1267","","","","","","6.25","","3","<NODEINFO_APP>"
"2025-08-14","15:50:17","2733226028","Meshtastic b82c","","","","","","6.25","","0","<TELEMETRY_APP>"
"2025-08-14","15:50:24","1304564327","Meshtastic 1267","","","","","","7.0","","0","seq 3"
"2025-08-14","15:50:24","1304564327","Meshtastic 1267","","","","","","7.0","","3","<TELEMETRY_APP>"
"2025-08-14","15:50:36","4222537374","BajotumnIT_Truck","35.258368","-106.7188224","","","","-2.0","","0","<POSITION_APP>"
"2025-08-14","15:50:37","3711455628","Meshtastic 518c","","","","","","-1.75","","2","<TELEMETRY_APP>"
"2025-08-14","15:50:54","1304564327","Meshtastic 1267","","","","","","7.25","","0","seq 5"
"2025-08-14","15:51:19","1129714352","KG5VBY-outdoor2","","","","","","5.0","","5","<NODEINFO_APP>"
"2025-08-14","15:51:22","2224712816","","","","","","","5.0","","0","<TELEMETRY_APP>"
"2025-08-14","15:51:30","1129934056","YIF Base 2","","","","","","6.25","","3","<NODEINFO_APP>"
"2025-08-14","15:51:39","1304564327","Meshtastic 1267","","","","","","6.25","","0","seq 6"
"2025-08-14","15:51:55","1304564327","Meshtastic 1267","","","","","","6.5","","0","seq 7"
"2025-08-14","15:51:57","3127312892","BBS Mesh hosted by bajotumn.com","","","","","","-5.75","","0","<NODEINFO_APP>"
"2025-08-14","15:52:10","1304564327","Meshtastic 1267","","","","","","6.75","","0","seq 8"
"2025-08-14","15:52:25","1304564327","Meshtastic 1267","","","","","","7.0","","0","seq 9"
"2025-08-14","15:52:41","1304564327","Meshtastic 1267","","","","","","6.0","","0","seq 10"
"2025-08-14","15:52:47","2224786680","Meshtastic 8cf8","34.808729","-106.7648806","","","","-17.25","","0","<POSITION_APP>"
"2025-08-14","15:53:10","1304564327","Meshtastic 1267","","","","","","6.25","","0","seq 11"
"2025-08-14","15:53:40","4201581325","scum1_base","","","","","","5.25","","5","<NODEINFO_APP>"
"2025-08-14","15:53:53","614370215","NI5V_Base","","","","","","5.75","","0","<NODEINFO_APP>"
"2025-08-14","15:53:55","1130082140","BajotumnIT_Go1","","","","","","-1.75","","1","<NODEINFO_APP>"
"2025-08-14","15:54:09","2733364712","Meshtastic d5e8","35.6253696","-106.03724799999999","","","","5.5","","4","<POSITION_APP>"
"2025-08-14","15:54:12","1304564327","Meshtastic 1267","","","","","","6.5","","0","seq 12"
"2025-08-14","15:54:17","1183264611","ZapDelta","","","","","","4.25","","2","<TELEMETRY_APP>"
"2025-08-14","15:54:33","1128109372","EkkoA-953c","","","","","","-17.75","","1","<NODEINFO_APP>"
"2025-08-14","15:54:35","1819479468","Meshtastic 0dac","34.8089601","-106.7651456","","","","-18.0","","1","<POSITION_APP>"
"2025-08-14","15:54:39","1304564327","Meshtastic 1267","","","","","","6.25","","3","<NODEINFO_APP>"
"2025-08-14","15:54:56","1304564327","Meshtastic 1267","","","","","","-19.5","","0","<TELEMETRY_APP>"
"2025-08-14","15:55:05","640262788","Meshtastic a284","","","","","","-18.5","","0","<TELEMETRY_APP>"
"2025-08-14","15:55:27","1304564327","Meshtastic 1267","","","","","","6.0","","0","seq 13"
"2025-08-14","15:55:35","2956785920","Meshtastic f900","35.8875136","-106.299392","","","","-4.75","","6","<POSITION_APP>"
"2025-08-14","15:55:43","1304564327","Meshtastic 1267","","","","","","6.0","","0","seq 14"
"2025-08-14","15:55:57","1304564327","Meshtastic 1267","","","","","","6.25","","0","seq 15"
"2025-08-14","15:56:05","1595584020","RMJ-Roaming0","35.258368","-106.66639359999999","","","","5.0","","2","<POSITION_APP>"
